account,actor_type,content_type,date,likes,comments,views,followers
naamtamilarkatchi,Official,Official Message,2025-12-09,5622,67,12000,109000
naamtamilarkatchi,Official,Official Message,2025-11-22,1360,63,10000,109000
naamtamilarkatchi,Official,Official Message,2025-11-13,1023,14,5000,109000
naamtamilarkatchi,Official,Official Message,2025-11-04,603,24,1020,109000
naamtamilarkatchi,Official,Speech Clip,2025-10-30,943,27,2501,109000
naamtamilarkatchi,Official,Official Message,2025-10-21,337,5,5004,109000
naamtamilarkatchi,Official,Official Message,2025-10-11,1393,16,14560,109000
naamtamilarkatchi,Official,Emotional,2025-09-28,5392,53,20000,109000
what.bruhhhhh,Meme,Troll,2025-12-13,3461,38,30900,20100
what.bruhhhhh,Meme,Troll,2025-12-04,31000,329,339000,20100
what.bruhhhhh,Meme,Speech Clip,2025-11-16,5766,43,38900,20100
what.bruhhhhh,Meme,Speech Clip,2025-11-05,54300,244,267000,20100
what.bruhhhhh,Meme,Speech Clip,2025-10-28,41800,346,600000,20100
what.bruhhhhh,Meme,Troll,2025-10-25,110000,483,976000,20100
what.bruhhhhh,Meme,Emotional,2025-10-19,12900,196,131000,20100
what.bruhhhhh,Meme,Emotional,2025-09-30,24500,443,154000,20100
dmkitwing,Official,Official Message,2026-01-06,2222,36,19700,180000
dmkitwing,Official,Official Message,2026-01-05,961,62,12600,180000
dmkitwing,Official,Official Message,2026-01-05,20300,167,253000,180000
dmkitwing,Official,Official Message,2026-01-04,1226,58,15400,180000
dmkitwing,Official,Official Message,2026-01-04,5563,63,61300,180000
dmkitwing,Official,Official Message,2026-01-04,2689,46,38000,180000
dmkitwing,Official,Official Message,2026-01-03,7110,112,126000,180000
dmkitwing,Official,Official Message,2026-01-03,7477,225,168000,180000
the_voiceofdravida,Meme,Troll,2026-01-06,3009,7,33200,16300
the_voiceofdravida,Meme,Speech Clip,2026-01-04,618,20,6215,16300
the_voiceofdravida,Meme,Emotional,2026-01-02,2323,44,53700,16300
the_voiceofdravida,Meme,Troll,2026-01-01,103,1,2318,16300
the_voiceofdravida,Meme,Troll,2025-12-24,1519,4,86800,16300
the_voiceofdravida,Meme,Troll,2025-12-16,104000,646,1800000,16300
the_voiceofdravida,Meme,Speech Clip,2025-11-28,3892,286,83400,16300
the_voiceofdravida,Meme,Emotional,2025-11-28,1575,22,18800,16300
voiceof_tvk,Official,Official Message,2026-01-06,13173,114,101000,481000
voiceof_tvk,Official,Official Message,2026-01-06,11900,64,76100,481000
voiceof_tvk,Official,Official Message,2026-01-05,12700,64,120000,481000
voiceof_tvk,Official,Official Message,2026-01-04,54000,153,310000,481000
voiceof_tvk,Official,Official Message,2026-01-04,2442,73,30200,481000
voiceof_tvk,Official,Official Message,2026-01-04,10087,70,131000,481000
voiceof_tvk,Official,Official Message,2026-01-03,53512,286,278000,481000
voiceof_tvk,Official,Official Message,2026-01-02,1285,56,21000,481000
tvk_vettri_padai,Meme,Troll,2026-01-02,31204,921,355000,1600000
tvk_vettri_padai,Meme,Speech Clip,2026-01-01,29100,116,30600,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-01-01,13400,27,396000,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-12-30,6625,31,338000,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-12-29,4445,23,66200,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-12-27,6543,78,52700,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-12-26,56521,56,63200,1600000
tvk_vettri_padai,Meme,Speech Clip,2025-12-25,87135,84,101000,1600000
